"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Product_Type__c","LLC_BI__Is_Booked__c","LLC_BI__Stage__c","LLC_BI__Stage_and_Status__c","LLC_BI__Status__c","LLC_BI__lookupKey__c","LLC_BI__Is_Closed__c","LLC_BI__External_Stage_Order__c","LLC_BI__External_Stage__c","LLC_BI__Is_Excluded_From_Stage_Duration__c","Product_Line_Name__c","LLC_BI__Is_Ready_To_Transmit__c","LLC_BI__Activate__c","LLC_BI__Is_Covenant__c","AutorabitExtId__c"
"a1b5w00000C9wYjAAJ","","P-0000001169","2020-09-17T15:54:23.000Z","0055w00000BkiP4AAJ","2021-01-20T19:25:14.000Z","0055w00000BkiP4AAJ","","a0a5w00000dNEg0AAG","true","Booked","","Hold","a1V5w000006wxcVEAQ","true","","","false","","false","false","false","a1V5w000006wxcVEAQ"
"a1b5w00000C9wYkAAJ","","P-0000001170","2020-09-17T15:54:23.000Z","0055w00000BkiP4AAJ","2021-01-20T19:25:14.000Z","0055w00000BkiP4AAJ","","a0a5w00000dNEg0AAG","true","Booked","","Open","a1V5w000006wxcWEAQ","true","","","false","","false","false","false","a1V5w000006wxcWEAQ"
"a1b5w00000C9wYlAAJ","","P-0000001171","2020-09-17T15:54:23.000Z","0055w00000BkiP4AAJ","2021-01-20T19:25:14.000Z","0055w00000BkiP4AAJ","","a0a5w00000dNEg0AAG","true","Booked","","Charge-Off","a1V5w000006wxcXEAQ","true","","","false","","false","false","false","a1V5w000006wxcXEAQ"
"a1b5w00000C9wYmAAJ","","P-0000001172","2020-09-17T15:54:23.000Z","0055w00000BkiP4AAJ","2021-01-20T19:25:14.000Z","0055w00000BkiP4AAJ","","a0a5w00000dNEg0AAG","true","Booked","","Paid Out","a1V5w000006wxcYEAQ","true","","","false","","false","false","false","a1V5w000006wxcYEAQ"
"a1b5w00000C9wYnAAJ","","P-0000001173","2020-09-17T15:54:23.000Z","0055w00000BkiP4AAJ","2021-01-20T19:25:14.000Z","0055w00000BkiP4AAJ","","a0a5w00000dNEg0AAG","true","Booked","","Superceded","a1V5w000006wxcZEAQ","true","","","false","","false","false","false","a1V5w000006wxcZEAQ"
"a1b5w00000C9wYoAAJ","","P-0000001174","2020-09-17T15:54:23.000Z","0055w00000BkiP4AAJ","2021-01-20T19:25:14.000Z","0055w00000BkiP4AAJ","","a0a5w00000dNEg2AAG","true","Booked","","Hold","a1V5w000006wxceEAA","false","","","false","","false","false","false","a1V5w000006wxceEAA"
"a1b5w00000C9wYpAAJ","","P-0000001175","2020-09-17T15:54:23.000Z","0055w00000BkiP4AAJ","2021-01-20T19:25:14.000Z","0055w00000BkiP4AAJ","","a0a5w00000dNEg2AAG","true","Booked","","Open","a1V5w000006wxcfEAA","false","","","false","","false","false","false","a1V5w000006wxcfEAA"
"a1b5w00000DCTuwAAH","","P-0000000886","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEBFAA5","false","Qualification / Application","","Declined","646445156709376674","false","1.0","Application","false","","false","false","false","a1b4T000000PI5rQAG"
"a1b5w00000DCTuxAAH","","P-0000000887","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEBEAA5","false","Qualification / Application","","Declined","663792575718734803","false","1.0","Application","false","","false","false","false","a1b4T000000PI5sQAG"
"a1b5w00000DCTuyAAH","","P-0000000888","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEB9AAP","false","Qualification / Application","","Declined","310410991237795989","false","1.0","Application","false","","false","false","false","a1b4T000000PI5tQAG"
"a1b5w00000DCTuzAAH","","P-0000000889","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEBCAA5","false","Qualification / Application","","Declined","493965649950885764","false","1.0","Application","false","","false","false","false","a1b4T000000PI5uQAG"
"a1b5w00000DCTv0AAH","","P-0000000890","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEBTAA5","false","Qualification / Application","","Declined","276759701274693268","false","1.0","Application","false","","false","false","false","a1b4T000000PI5vQAG"
"a1b5w00000DCTv1AAH","","P-0000000891","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEBFAA5","false","Qualification / Application","","Lost","034851768281860302","false","1.0","Application","false","","false","false","false","a1b4T000000PI5wQAG"
"a1b5w00000DCTv2AAH","","P-0000000892","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEBEAA5","false","Qualification / Application","","Lost","088032393892779522","false","1.0","Application","false","","false","false","false","a1b4T000000PI5xQAG"
"a1b5w00000DCTv3AAH","","P-0000000893","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEB9AAP","false","Qualification / Application","","Lost","717550469456560763","false","1.0","Application","false","","false","false","false","a1b4T000000PI5yQAG"
"a1b5w00000DCTv4AAH","","P-0000000894","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEBCAA5","false","Qualification / Application","","Lost","036828855709527270","false","1.0","Application","false","","false","false","false","a1b4T000000PI5zQAG"
"a1b5w00000DCTv5AAH","","P-0000000895","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEBTAA5","false","Qualification / Application","","Lost","795668537130634416","false","1.0","Application","false","","false","false","false","a1b4T000000PI60QAG"
"a1b5w00000DCTv6AAH","","P-0000000896","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEBFAA5","false","Qualification / Application","","Open","998194040383274105","false","1.0","Application","false","","false","false","false","a1b4T000000PI61QAG"
"a1b5w00000DCTv7AAH","","P-0000000897","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEBEAA5","false","Qualification / Application","","Open","366797929841410803","false","1.0","Application","false","","false","false","false","a1b4T000000PI62QAG"
"a1b5w00000DCTv8AAH","","P-0000000898","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEB9AAP","false","Qualification / Application","","Open","663249986973425246","false","1.0","Application","false","","false","false","false","a1b4T000000PI63QAG"
"a1b5w00000DCTv9AAH","","P-0000000899","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEBCAA5","false","Qualification / Application","","Open","721595432238098644","false","1.0","Application","false","","false","false","false","a1b4T000000PI64QAG"
"a1b5w00000DCTvAAAX","","P-0000000900","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEBTAA5","false","Qualification / Application","","Open","313625031765941435","false","1.0","Application","false","","false","false","false","a1b4T000000PI65QAG"
"a1b5w00000DCTvBAAX","","P-0000000901","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEBFAA5","false","Qualification / Application","","Withdrawn","812202197629181728","false","1.0","Application","false","","false","false","false","a1b4T000000PI66QAG"
"a1b5w00000DCTvCAAX","","P-0000000902","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEBEAA5","false","Qualification / Application","","Withdrawn","289380717853992000","false","1.0","Application","false","","false","false","false","a1b4T000000PI67QAG"
"a1b5w00000DCTvDAAX","","P-0000000903","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEB9AAP","false","Qualification / Application","","Withdrawn","875478049578894652","false","1.0","Application","false","","false","false","false","a1b4T000000PI68QAG"
"a1b5w00000DCTvEAAX","","P-0000000904","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2021-02-09T19:26:12.000Z","0055w00000BkiP4AAJ","","a0a5w00000ZFEBCAA5","false","Qualification / Application","","Withdrawn","629801680937323220","false","1.0","Application","false","","false","false","false","a1b4T000000PI69QAG"
