"Id","IsDeleted","Name","RecordTypeId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Product_Type__c","LLC_BI__RealEstate_Type__c","LLC_BI__RealEstate__c","LLC_BI__lookupKey__c","LLC_BI__Product_Feature__c","Unsecured_Product__c","LLC_BI__Product_Line_Name__c","LLC_BI__Product_Type_Name__c","nSBA__eTran_Value__c","LLC_BI__Default_App__c","LLC_BI__Screen_Section__c","nPortal__Online_Application_Enabled__c","nPortal__Online_Application_Group__c","Classificationproduct__c","Classificationdonotuse__c","nPortal__Online_Application_Header_Text__c","nPortal__Online_Application_Subheader_Text__c","nPortal__External_Name__c","nPortal__Online_Application_Topbar_Fieldset__c","nPortal__Online_Application_Topbar_Text__c","nPortal__Online_Application_Type__c","nPortal__Online_Application_Your_Account_Fieldset__c","nPortal__Product_Marketing__c","CSiDemoCode__c","LLC_BI__Deposit_Rate_Structure__c","LLC_BI__Maintenance_App__c","nPortal__Can_Pledge_Multiple_Collateral__c","nPortal__OA_Approval_Next_Steps__c","nPortal__OA_Auto_Decision_Enabled__c","nPortal__OA_Collateral_Required__c","nPortal__OA_Product_Image__c","nPortal__Online_Application_AS_Screen__c","nPortal__Suggested_Collateral_Enabled__c","CSiDP__lookupKey__c","LLC_BI__Institution__c","LLC_BI__Maximum_Funding_Amount__c","LLC_BI__Minimum_Funding_Amount__c","nPortal__OA_Deposit_Funding_Failure_Next_Steps__c","nPortal__OA_Deposit_Funding_Next_Steps__c","nPortal__Your_Products_Component_Field_Set__c","WKDDP__Description__c","LLC_BI__Disable_Id_Document_Save__c","LLC_BI__Other_Disclosures_Description__c","LLC_BI__Other_Disclosures_Received__c","nPortal__OA_Collapsed_Offer_Card_Summary__c","nPortal__OA_Expanded_Offer_Summary_Card__c","nPortal__OA_Offers_Accepted_Next_Steps__c","nPortal__OA_Offers_Enabled__c","AutorabitExtId__c"
"a0b5w00000zIyi7AAC","","Construction","","2020-09-17T15:54:45.000Z","0055w00000BkiP4AAJ","2021-01-20T19:24:28.000Z","0055w00000BkiP4AAJ","","","","","a0a5w00000ZFEB6AAP","","","PR-001","a0y5w00000N9cymAAB","false","","","","","","false","","","","","","Term Loan","","","","","","","","","false","","false","false","","","false","PR-001","","","","","","","","false","","false","","","","false","a0u5w00000PqkllAAB"
"a0b5w00000zIyi8AAC","","HELOC","","2020-09-17T15:54:45.000Z","0055w00000BkiP4AAJ","2021-01-20T19:24:28.000Z","0055w00000BkiP4AAJ","","","","","a0a5w00000dNEfyAAG","","","PR-HELOC035644312","","false","","","","","","false","","","","","","","","","","","","","","","false","","false","false","","","false","PR-HELOC035644312","","","","","","","","false","","false","","","","false","a0u5w00000PqklmAAB"
"a0b5w00000zIyi9AAC","","Equipment","","2020-09-17T15:54:45.000Z","0055w00000BkiP4AAJ","2021-01-20T19:24:28.000Z","0055w00000BkiP4AAJ","","","","","a0a5w00000dNEg0AAG","","","PR-Equipme0717716","","false","","","","","","false","","","","","","","","","","","","","","","false","","false","false","","","false","PR-Equipme0717716","","","","","","","","false","","false","","","","false","a0u5w00000PqklnAAB"
"a0b5w00000zIyiAAAS","","Term Loan","","2020-09-17T15:54:45.000Z","0055w00000BkiP4AAJ","2021-01-20T19:24:28.000Z","0055w00000BkiP4AAJ","","","","","a0a5w00000ZFEB6AAP","","","PR-TermLoa0874516","","false","","","","","","false","","","","","","","","","","","","","","","false","","false","false","","","false","PR-TermLoa0874516","","","","","","","","false","","false","","","","false","a0u5w00000PqkloAAB"
"a0b5w00000zIyiBAAS","","Line Of Credit","","2020-09-17T15:54:45.000Z","0055w00000BkiP4AAJ","2021-01-20T19:24:28.000Z","0055w00000BkiP4AAJ","","","","","a0a5w00000dNEg0AAG","","","PR-LineOfC0288435","","false","","","","","","false","","","","","","","","","","","","","","","false","","false","false","","","false","PR-LineOfC0288435","","","","","","","","false","","false","","","","false","a0u5w00000PqklpAAB"
"a0b5w00000zIyiCAAS","","Line Of Credit","","2020-09-17T15:54:45.000Z","0055w00000BkiP4AAJ","2021-01-20T19:24:28.000Z","0055w00000BkiP4AAJ","","","","","a0a5w00000ZFEB6AAP","","","PR-LineOfC0084258","a0y5w00000NGYdBAAX","false","","","","","","false","","","","","","Revolving Line Of Credit","","","","","","","","","false","","false","false","","","false","PR-LineOfC0084258","","","","","","","","false","","false","","","","false","a0u5w00000PqklqAAB"
"a0b5w00000zIyiDAAS","","HELOC","","2020-09-17T15:54:45.000Z","0055w00000BkiP4AAJ","2021-01-20T19:24:28.000Z","0055w00000BkiP4AAJ","","","","","a0a5w00000ZFEB6AAP","","","PR-HELOC055071492","","false","","","","","","false","","","","","","","","","","","","","","","false","","false","false","","","false","PR-HELOC055071492","","","","","","","","false","","false","","","","false","a0u5w00000PqklrAAB"
"a0b5w00000zIyiEAAS","","ACH Origination","","2020-09-17T15:54:45.000Z","0055w00000BkiP4AAJ","2021-01-20T19:24:28.000Z","0055w00000BkiP4AAJ","","","","","a0a5w00000dNEfzAAG","","","a0u5w00000PqklsAAB","","false","","","","treasury-default.ts-details","","false","","","","","","","","","","","","","","tmmp-Treasury00","false","","false","false","","","false","a0u5w00000PqklsAAB","","","","","","","","false","","false","","","","false","a0u5w00000PqklsAAB"
"a0b5w00000zIyiFAAS","","Purchase","","2020-09-17T15:54:45.000Z","0055w00000BkiP4AAJ","2021-01-20T19:24:28.000Z","0055w00000BkiP4AAJ","","","","","a0a5w00000ZFEB6AAP","","","PR-Purchas0945231","","false","","","","","","false","","","","","","","","","","","","","","","false","","false","false","","","false","PR-Purchas0945231","","","","","","","","false","","false","","","","false","a0u5w00000PqkltAAB"
"a0b5w00000zIyiGAAS","","Business Checking","","2020-09-17T15:54:45.000Z","0055w00000BkiP4AAJ","2021-01-20T19:24:28.000Z","0055w00000BkiP4AAJ","","","","","a0a5w00000dNEg2AAG","","","PR-BusChecking","","false","","","","","","false","","","","","","","","","","","","","","","false","","false","false","","","false","PR-BusChecking","","","","","","","","false","","false","","","","false","a0u5w00000PqkluAAB"
